date,avg_sentiment,tweet_count,Open,High,Low,Close,Adj Close,Volume,price_change_pct
2021-09-30,0.1111111111111111,90,260.3333435058594,263.0433349609375,258.3333435058594,258.49334716796875,258.49334716796875,53868000,-0.7067847372571435
2021-10-01,0.22340425531914893,94,259.4666748046875,260.260009765625,254.52999877929688,258.4066772460937,258.4066772460937,51094200,-0.4085293648564756
2021-10-04,0.1092436974789916,119,265.5,268.989990234375,258.7066650390625,260.510009765625,260.510009765625,91449900,-1.8794690148305087
2021-10-05,0.13636363636363635,88,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800,-0.5364490815504096
2021-10-06,0.2564102564102564,78,258.7333374023437,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400,0.8438491590288413
2021-10-07,0.2846715328467153,137,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,1.0376116143497653
2021-10-08,0.23333333333333334,90,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,-1.3463786873604076
2021-10-11,0.2736842105263158,95,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,0.5446670195570552
2021-10-12,0.25217391304347825,115,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,0.5980596667394809
2021-10-13,0.20689655172413793,87,270.1566772460937,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,0.07525562852685203
2021-10-14,0.2523364485981308,107,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,0.34704021690013553
2021-10-15,0.2887323943661972,142,274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800,2.3417668831690626
2021-10-18,0.2905405405405405,148,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,2.1507729407432516
2021-10-19,0.17857142857142858,112,292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,-1.5110639910326251
2021-10-20,0.27011494252873564,174,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,0.05199996191254062
