date,avg_sentiment,tweet_count,Open,High,Low,Close,Adj Close,Volume,price_change_pct,p_sum,p_sum_lag_1,p_sum_lag_2,p_sum_lag_3,p_sum_lag_4,p_sum_lag_5,p_sum_lag_6,p_sum_lag_7,Adj_Close_norm,p_sum_lag_1_norm,p_sum_lag_2_norm,p_sum_lag_3_norm,p_sum_lag_4_norm,p_sum_lag_5_norm,p_sum_lag_6_norm,p_sum_lag_7_norm
2021-09-30,0.1111111111111111,90,260.3333435058594,263.0433349609375,258.3333435058594,258.49334716796875,258.49334716796875,53868000,-0.7067847372571435,10.0,,,,,,,,0.24481932084529154,,,,,,,
2021-10-01,0.2234042553191489,94,259.4666748046875,260.260009765625,254.52999877929688,258.4066772460937,258.4066772460937,51094200,-0.4085293648564756,20.999999999999996,10.0,,,,,,,0.2443872314855602,0.18777292576419213,,,,,,
2021-10-04,0.1092436974789916,119,265.5,268.989990234375,258.7066650390625,260.510009765625,260.510009765625,91449900,-1.8794690148305089,13.0,20.999999999999996,10.0,,,,,,0.25487330995435753,0.23580786026200873,0.18777292576419213,,,,,
2021-10-05,0.1363636363636363,88,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800,-0.5364490815504096,11.999999999999995,13.0,20.999999999999996,10.0,,,,,0.2533110939171327,0.20087336244541484,0.23580786026200873,0.18777292576419213,,,,
2021-10-06,0.2564102564102564,78,258.7333374023437,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400,0.8438491590288413,20.0,11.999999999999995,13.0,20.999999999999996,10.0,,,,0.2569006306298562,0.19650655021834057,0.20087336244541484,0.23580786026200873,0.18777292576419213,,,
2021-10-07,0.2846715328467153,137,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,1.0376116143497651,39.0,20.0,11.999999999999995,13.0,20.999999999999996,10.0,,,0.2749481207498059,0.23144104803493448,0.19650655021834057,0.20087336244541484,0.23580786026200873,0.18777292576419213,,
2021-10-08,0.2333333333333333,90,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,-1.3463786873604076,20.999999999999996,39.0,20.0,11.999999999999995,13.0,20.999999999999996,10.0,,0.2614540004742333,0.314410480349345,0.23144104803493448,0.19650655021834057,0.20087336244541484,0.23580786026200873,0.18777292576419213,
2021-10-11,0.2736842105263158,95,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,0.5446670195570552,26.0,20.999999999999996,39.0,20.0,11.999999999999995,13.0,20.999999999999996,10.0,0.2721728594783784,0.23580786026200873,0.314410480349345,0.23144104803493448,0.19650655021834057,0.20087336244541484,0.23580786026200873,0.18777292576419213
2021-10-12,0.2521739130434782,115,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,0.5980596667394809,28.999999999999993,26.0,20.999999999999996,39.0,20.0,11.999999999999995,13.0,20.999999999999996,0.2950726826792796,0.2576419213973799,0.23580786026200873,0.314410480349345,0.23144104803493448,0.19650655021834057,0.20087336244541484,0.23580786026200873
2021-10-13,0.2068965517241379,87,270.1566772460937,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,0.075255628526852,17.999999999999996,28.999999999999993,26.0,20.999999999999996,39.0,20.0,11.999999999999995,13.0,0.30397996139951006,0.2707423580786026,0.2576419213973799,0.23580786026200873,0.314410480349345,0.23144104803493448,0.19650655021834057,0.20087336244541484
2021-10-14,0.2523364485981308,107,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,0.3470402169001355,26.999999999999996,17.999999999999996,28.999999999999993,26.0,20.999999999999996,39.0,20.0,11.999999999999995,0.3160116721941901,0.22270742358078602,0.2707423580786026,0.2576419213973799,0.23580786026200873,0.314410480349345,0.23144104803493448,0.19650655021834057
2021-10-15,0.2887323943661972,142,274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800,2.3417668831690626,41.0,26.999999999999996,17.999999999999996,28.999999999999993,26.0,20.999999999999996,39.0,20.0,0.3570752236385743,0.26200873362445415,0.22270742358078602,0.2707423580786026,0.2576419213973799,0.23580786026200873,0.314410480349345,0.23144104803493448
2021-10-18,0.2905405405405405,148,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,2.1507729407432516,42.99999999999999,41.0,26.999999999999996,17.999999999999996,28.999999999999993,26.0,20.999999999999996,39.0,0.40207733045456334,0.3231441048034935,0.26200873362445415,0.22270742358078602,0.2707423580786026,0.2576419213973799,0.23580786026200873,0.314410480349345
2021-10-19,0.1785714285714285,112,292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,-1.5110639910326251,19.999999999999993,42.99999999999999,41.0,26.999999999999996,17.999999999999996,28.999999999999993,26.0,20.999999999999996,0.39237220786023796,0.33187772925764186,0.3231441048034935,0.26200873362445415,0.22270742358078602,0.2707423580786026,0.2576419213973799,0.23580786026200873
2021-10-20,0.2701149425287356,174,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,0.0519999619125406,46.99999999999999,19.999999999999993,42.99999999999999,41.0,26.999999999999996,17.999999999999996,28.999999999999993,26.0,0.39491484074045813,0.23144104803493445,0.33187772925764186,0.3231441048034935,0.26200873362445415,0.22270742358078602,0.2707423580786026,0.2576419213973799
2021-10-21,0.2833333333333333,180,285.3333435058594,300.0,285.1666564941406,298.0,298.0,94444500,4.439248613045644,51.0,46.99999999999999,19.999999999999993,42.99999999999999,41.0,26.999999999999996,17.999999999999996,28.999999999999993,0.4417781268302465,0.34934497816593885,0.23144104803493445,0.33187772925764186,0.3231441048034935,0.26200873362445415,0.22270742358078602,0.2707423580786026
2021-10-22,0.4550898203592814,167,298.5,303.3333435058594,296.9866638183594,303.2266540527344,303.2266540527344,68642400,1.5834686943833751,76.0,51.0,46.99999999999999,19.999999999999993,42.99999999999999,41.0,26.999999999999996,17.999999999999996,0.46783539738414015,0.36681222707423583,0.34934497816593885,0.23144104803493445,0.33187772925764186,0.3231441048034935,0.26200873362445415,0.22270742358078602
2021-10-25,0.4242424242424242,462,316.84332275390625,348.3399963378906,314.7333374023437,341.6199951171875,341.6199951171875,188556300,7.819849933377139,195.99999999999997,76.0,51.0,46.99999999999999,19.999999999999993,42.99999999999999,41.0,26.999999999999996,0.6592438329703808,0.47598253275109176,0.36681222707423583,0.34934497816593885,0.23144104803493445,0.33187772925764186,0.3231441048034935,0.26200873362445415
2021-10-26,0.2058823529411764,238,341.5633239746094,364.9800109863281,333.8133239746094,339.4766540527344,339.4766540527344,187245000,-0.6109174420700144,48.999999999999986,195.99999999999997,76.0,51.0,46.99999999999999,19.999999999999993,42.99999999999999,41.0,0.64855829353306,1.0,0.47598253275109176,0.36681222707423583,0.34934497816593885,0.23144104803493445,0.33187772925764186,0.3231441048034935
2021-10-27,0.2090395480225988,177,346.5533447265625,356.9599914550781,343.59332275390625,345.9533386230469,345.9533386230469,115579500,-0.1731352799347649,36.999999999999986,48.999999999999986,195.99999999999997,76.0,51.0,46.99999999999999,19.999999999999993,42.99999999999999,0.6808475402362296,0.3580786026200873,1.0,0.47598253275109176,0.36681222707423583,0.34934497816593885,0.23144104803493445,0.33187772925764186
2021-10-28,0.304,125,356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,359.0133361816406,81639600,0.8171795645719687,38.0,36.999999999999986,48.999999999999986,195.99999999999997,76.0,51.0,46.99999999999999,19.999999999999993,0.7459576252703506,0.30567685589519644,0.3580786026200873,1.0,0.47598253275109176,0.36681222707423583,0.34934497816593885,0.23144104803493445
2021-10-29,0.3333333333333333,189,360.6199951171875,371.7366638183594,357.7366638183594,371.3333435058594,371.3333435058594,89755200,2.970813746805818,63.0,38.0,36.999999999999986,48.999999999999986,195.99999999999997,76.0,51.0,46.99999999999999,0.8073785191795566,0.31004366812227074,0.30567685589519644,0.3580786026200873,1.0,0.47598253275109176,0.36681222707423583,0.34934497816593885
2021-11-01,0.2681992337164751,261,381.6666564941406,403.25,372.88665771484375,402.86334228515625,402.86334228515625,168146100,5.5537169491621645,70.0,63.0,38.0,36.999999999999986,48.999999999999986,195.99999999999997,76.0,51.0,0.9645700417993205,0.41921397379912667,0.31004366812227074,0.30567685589519644,0.3580786026200873,1.0,0.47598253275109176,0.36681222707423583
2021-11-02,0.1707317073170731,205,386.4533386230469,402.86334228515625,382.0,390.6666564941406,390.6666564941406,128213400,1.0902526773622965,34.999999999999986,70.0,63.0,38.0,36.999999999999986,48.999999999999986,195.99999999999997,76.0,0.9037639623628867,0.44978165938864634,0.41921397379912667,0.31004366812227074,0.30567685589519644,0.3580786026200873,1.0,0.47598253275109176
2021-11-03,0.3,130,392.4433288574219,405.1300048828125,384.2066650390625,404.6199951171875,404.6199951171875,103885500,3.102783348418063,39.0,34.999999999999986,70.0,63.0,38.0,36.999999999999986,48.999999999999986,195.99999999999997,0.9733277628291933,0.296943231441048,0.44978165938864634,0.41921397379912667,0.31004366812227074,0.30567685589519644,0.3580786026200873,1.0
2021-11-04,0.2080536912751678,149,411.4700012207031,414.4966735839844,405.6666564941406,409.9700012207031,409.9700012207031,76192200,-0.364546624431907,31.0,39.0,34.999999999999986,70.0,63.0,38.0,36.999999999999986,48.999999999999986,1.0,0.314410480349345,0.296943231441048,0.44978165938864634,0.41921397379912667,0.31004366812227074,0.30567685589519644,0.3580786026200873
2021-11-05,0.3595505617977528,89,409.3333435058594,413.2900085449219,402.6666564941406,407.36334228515625,407.36334228515625,64886400,-0.4812706445632924,32.0,31.0,39.0,34.999999999999986,70.0,63.0,38.0,36.999999999999986,0.9870046082178071,0.2794759825327511,0.314410480349345,0.296943231441048,0.44978165938864634,0.41921397379912667,0.31004366812227074,0.30567685589519644
2021-11-08,0.1198156682027649,217,383.2633361816406,399.0,377.6666564941406,387.6466674804688,387.6466674804688,100337100,1.1436865687436333,25.999999999999982,32.0,31.0,39.0,34.999999999999986,70.0,63.0,38.0,0.8887079303383711,0.2838427947598253,0.2794759825327511,0.314410480349345,0.296943231441048,0.44978165938864634,0.41921397379912667,0.31004366812227074
2021-11-09,0.1442786069651741,201,391.2000122070313,391.5,337.17333984375,341.1666564941406,341.1666564941406,177317400,-12.789712206453608,28.999999999999996,25.999999999999982,32.0,31.0,39.0,34.999999999999986,70.0,63.0,0.6569837317595341,0.25764192139737985,0.2838427947598253,0.2794759825327511,0.314410480349345,0.296943231441048,0.44978165938864634,0.41921397379912667
2021-11-10,0.1216931216931216,189,336.8033447265625,359.3666687011719,329.10333251953125,355.9833374023437,355.9833374023437,128408100,5.69471561850215,22.999999999999982,28.999999999999996,25.999999999999982,32.0,31.0,39.0,34.999999999999986,70.0,0.7308516899676684,0.27074235807860264,0.25764192139737985,0.2838427947598253,0.2794759825327511,0.314410480349345,0.296943231441048,0.44978165938864634
2021-11-11,0.1986754966887417,151,367.5899963378906,368.3233337402344,351.5599975585937,354.5033264160156,354.5033264160156,67189800,-3.5601267858893704,29.999999999999996,22.999999999999982,28.999999999999996,25.999999999999982,32.0,31.0,39.0,34.999999999999986,0.7234731555736978,0.24454148471615714,0.27074235807860264,0.25764192139737985,0.2838427947598253,0.2794759825327511,0.314410480349345,0.296943231441048
2021-11-12,0.2015503875968992,129,349.1666564941406,351.5,339.7333374023437,344.47332763671875,344.47332763671875,76719300,-1.3441515019062635,25.999999999999996,29.999999999999996,22.999999999999982,28.999999999999996,25.999999999999982,32.0,31.0,39.0,0.6734690058422589,0.2751091703056769,0.24454148471615714,0.27074235807860264,0.25764192139737985,0.2838427947598253,0.2794759825327511,0.314410480349345
2021-11-15,0.0728476821192053,151,339.2099914550781,343.99334716796875,326.20001220703125,337.7966613769531,337.7966613769531,104326800,-0.416653434075561,11.0,25.999999999999996,29.999999999999996,22.999999999999982,28.999999999999996,25.999999999999982,32.0,31.0,0.6401827585847522,0.2576419213973799,0.2751091703056769,0.24454148471615714,0.27074235807860264,0.25764192139737985,0.2838427947598253,0.2794759825327511
2021-11-16,0.1472868217054263,129,334.4366760253906,352.3999938964844,334.0599975585937,351.57666015625,351.57666015625,79627200,5.125031241955681,18.999999999999993,11.0,25.999999999999996,29.999999999999996,22.999999999999982,28.999999999999996,25.999999999999982,32.0,0.7088823803315967,0.19213973799126635,0.2576419213973799,0.2751091703056769,0.24454148471615714,0.27074235807860264,0.25764192139737985,0.2838427947598253
2021-11-17,0.247787610619469,113,354.5033264160156,373.21331787109375,351.8333435058594,363.0033264160156,363.0033264160156,94336200,2.3977208016449207,27.999999999999996,18.999999999999993,11.0,25.999999999999996,29.999999999999996,22.999999999999982,28.999999999999996,25.999999999999982,0.765849558808617,0.22707423580786024,0.19213973799126635,0.2576419213973799,0.2751091703056769,0.24454148471615714,0.27074235807860264,0.25764192139737985
