date,avg_sentiment,tweet_count,Open,High,Low,Close,Adj Close,Volume,price_change_pct,p_sum,p_sum_lag_1,p_sum_lag_2,p_sum_lag_3,p_sum_lag_4,p_sum_lag_5,p_sum_lag_6,p_sum_lag_7,Adj_Close_norm,p_sum_lag_1_norm,p_sum_lag_2_norm,p_sum_lag_3_norm,p_sum_lag_4_norm,p_sum_lag_5_norm,p_sum_lag_6_norm,p_sum_lag_7_norm
2022-09-15,0.3617021276595745,94,301.8299865722656,309.1199951171875,300.7200012207031,303.75,303.75,64795500,0.6361241470865838,34.0,17.999999999999993,19.0,20.0,30.999999999999996,18.0,18.999999999999996,12.999999999999996,0.4704445172538682,0.222707423580786,0.2270742358078602,0.2314410480349344,0.2794759825327511,0.222707423580786,0.2270742358078602,0.2008733624454148
2022-09-16,0.3535353535353535,99,299.6099853515625,303.7099914550781,295.6000061035156,303.3500061035156,303.3500061035156,87087800,1.2482964302957336,34.99999999999999,34.0,17.999999999999993,19.0,20.0,30.999999999999996,18.0,18.999999999999996,0.4684503640010531,0.2925764192139738,0.222707423580786,0.2270742358078602,0.2314410480349344,0.2794759825327511,0.222707423580786,0.2270742358078602
2022-09-19,0.2528735632183908,87,300.0899963378906,309.8399963378906,297.79998779296875,309.07000732421875,309.07000732421875,60231200,2.992439300181454,21.999999999999996,34.99999999999999,34.0,17.999999999999993,19.0,20.0,30.999999999999996,18.0,0.4969671967343173,0.296943231441048,0.2925764192139738,0.222707423580786,0.2270742358078602,0.2314410480349344,0.2794759825327511,0.222707423580786
2022-09-20,0.0246913580246913,81,306.9100036621094,313.3299865722656,305.5799865722656,308.7300109863281,308.7300109863281,61642800,0.5930101014962273,1.9999999999999951,21.999999999999996,34.99999999999999,34.0,17.999999999999993,19.0,20.0,30.999999999999996,0.4952721588622174,0.2401746724890829,0.296943231441048,0.2925764192139738,0.222707423580786,0.2270742358078602,0.2314410480349344,0.2794759825327511
2022-09-21,0.1481481481481481,54,308.2900085449219,313.79998779296875,300.6300048828125,300.79998779296875,300.79998779296875,62555700,-2.4295373007074703,7.999999999999998,1.9999999999999951,21.999999999999996,34.99999999999999,34.0,17.999999999999993,19.0,20.0,0.4557373517440929,0.1528384279475982,0.2401746724890829,0.296943231441048,0.2925764192139738,0.222707423580786,0.2270742358078602,0.2314410480349344
2022-09-22,0.0963855421686747,83,299.8599853515625,301.2900085449219,285.82000732421875,288.5899963378906,288.5899963378906,70545400,-3.7584171160612474,8.0,7.999999999999998,1.9999999999999951,21.999999999999996,34.99999999999999,34.0,17.999999999999993,19.0,0.394864937462292,0.1790393013100436,0.1528384279475982,0.2401746724890829,0.296943231441048,0.2925764192139738,0.222707423580786,0.2270742358078602
2022-09-23,0.1976744186046511,86,283.0899963378906,284.5,272.82000732421875,275.3299865722656,275.3299865722656,63748400,-2.741181202448004,16.999999999999993,8.0,7.999999999999998,1.9999999999999951,21.999999999999996,34.99999999999999,34.0,17.999999999999993,0.3287576997296931,0.1790393013100436,0.1790393013100436,0.1528384279475982,0.2401746724890829,0.296943231441048,0.2925764192139738,0.222707423580786
2022-09-26,0.1944444444444444,72,271.8299865722656,284.0899963378906,270.3099975585937,276.010009765625,276.010009765625,58076900,1.537734392761014,13.999999999999996,16.999999999999993,8.0,7.999999999999998,1.9999999999999951,21.999999999999996,34.99999999999999,34.0,0.3321479276180336,0.2183406113537117,0.1790393013100436,0.1790393013100436,0.1528384279475982,0.2401746724890829,0.296943231441048,0.2925764192139738
2022-09-27,0.3294117647058823,85,283.8399963378906,288.6700134277344,277.510009765625,282.94000244140625,282.94000244140625,61925200,-0.3170778988500967,27.999999999999996,13.999999999999996,16.999999999999993,8.0,7.999999999999998,1.9999999999999951,21.999999999999996,34.99999999999999,0.3666971233879092,0.205240174672489,0.2183406113537117,0.1790393013100436,0.1790393013100436,0.1528384279475982,0.2401746724890829,0.296943231441048
2022-09-28,0.2266666666666666,75,283.0799865722656,289.0,277.57000732421875,287.8099975585937,287.8099975585937,54664800,1.670909711280693,16.999999999999996,27.999999999999996,13.999999999999996,16.999999999999993,8.0,7.999999999999998,1.9999999999999951,21.999999999999996,0.390976285368853,0.2663755458515284,0.205240174672489,0.2183406113537117,0.1790393013100436,0.1790393013100436,0.1528384279475982,0.2401746724890829
2022-09-29,0.0625,112,282.760009765625,283.6499938964844,265.7799987792969,268.2099914550781,268.2099914550781,77620600,-5.145712904242414,7.0,16.999999999999996,27.999999999999996,13.999999999999996,16.999999999999993,8.0,7.999999999999998,1.9999999999999951,0.2932612545395057,0.2183406113537117,0.2663755458515284,0.205240174672489,0.2183406113537117,0.1790393013100436,0.1790393013100436,0.1528384279475982
